Description,Road Name,Website,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded
Adelaide Road j/w Bridge Approach,Adelaide Road,https://www.camden.gov.uk/winter-weather,528039.34301724,184382.89020193,-0.15497,51.543829,POINT (-0.15497 51.543829),Approximate Location,09/01/2026 01:55:48 PM
Agamemnon road opposite Ulysses Road under name plate,Agamemnon road,https://www.camden.gov.uk/winter-weather,524950.70190346,185373.7865608,-0.199135,51.553426,POINT (-0.199135 51.553426),Approximate Location,09/01/2026 01:55:48 PM
Agar Grove j/w Rochester Sq,Agar Grove,https://www.camden.gov.uk/winter-weather,529488.18988911,184282.14903879,-0.134125,51.542593,POINT (-0.134125 51.542593),Approximate Location,09/01/2026 01:55:48 PM
Ainger Road j/w Regents Park Road,Ainger Road,https://www.camden.gov.uk/winter-weather,528014.60783394,184250.93797286,-0.155374,51.542648,POINT (-0.155374 51.542648),Approximate Location,09/01/2026 01:55:48 PM
Ainger Road o/s no.29  King Henry's Road,Ainger Road,https://www.camden.gov.uk/winter-weather,527869.14022093,184228.6843429,-0.157479,51.542481,POINT (-0.157479 51.542481),Approximate Location,09/01/2026 01:55:48 PM
Akenside Road j/w Wedderburn Road,Akenside Road,https://www.camden.gov.uk/winter-weather,526691.6383099,185126.84724644,-0.174126,51.550818,POINT (-0.174126 51.550818),Approximate Location,09/01/2026 01:55:48 PM
Alvanley Gardens j/w Finchley Road,Alvanley Gardens,https://www.camden.gov.uk/winter-weather,525718.53146356,185285.24190644,-0.188097,51.552459,POINT (-0.188097 51.552459),Approximate Location,09/01/2026 01:55:48 PM
Ariel Road near j/w Iverson Road,Ariel Road,https://www.camden.gov.uk/winter-weather,525034.76030139,184659.08114309,-0.198177,51.546984,POINT (-0.198177 51.546984),Approximate Location,09/01/2026 01:55:48 PM
Arkwright Road Fitzjohns Avenue,Arkwright Road,https://www.camden.gov.uk/winter-weather,526505.20923334,185423.14243282,-0.176707,51.553523,POINT (-0.176707 51.553523),Approximate Location,09/01/2026 01:55:48 PM
Arkwright Road j/w Finchley Road,Arkwright Road,https://www.camden.gov.uk/winter-weather,526051.22792405,185117.76984482,-0.183361,51.55088,POINT (-0.183361 51.55088),Approximate Location,09/01/2026 01:55:48 PM
Back Lane opposite Streatley Place next to TCSU Box,Back Lane,https://www.camden.gov.uk/winter-weather,526399.99400863,185830.62579193,-0.178078,51.557209,POINT (-0.178078 51.557209),Approximate Location,09/01/2026 01:55:48 PM
Barker Drive j/w Camley St (Dead End),Barker Drive,https://www.camden.gov.uk/winter-weather,529650.96388537,184049.01577249,-0.131865,51.540461,POINT (-0.131865 51.540461),Approximate Location,09/01/2026 01:55:48 PM
Barker Drive o/s Garden Centre,Barker Drive,https://www.camden.gov.uk/winter-weather,529427.39905361,184065.01119385,-0.135081,51.540656,POINT (-0.135081 51.540656),Approximate Location,09/01/2026 01:55:48 PM
Bartholomew Road j/w Bartholomew Villas o/s Health Centre,Bartholomew Road,https://www.camden.gov.uk/winter-weather,529062.45615915,184655.08228775,-0.140124,51.546042,POINT (-0.140124 51.546042),Approximate Location,09/01/2026 01:55:48 PM
Belsize Crescent j/w Akenside Road,Belsize Crescent,https://www.camden.gov.uk/winter-weather,526778.21969652,185067.51423034,-0.1729,51.550266,POINT (-0.1729 51.550266),Approximate Location,09/01/2026 01:55:48 PM
Belsize Lane j/w Belsize Terrace on paved area by shops,Belsize Lane,https://www.camden.gov.uk/winter-weather,526866.27694908,184933.65254785,-0.171679,51.549043,POINT (-0.171679 51.549043),Approximate Location,09/01/2026 01:55:48 PM
Boundary Rd o/s Jack Taylor School,Boundary Rd,https://www.camden.gov.uk/winter-weather,526283.26043356,183854.02158899,-0.18047,51.539471,POINT (-0.18047 51.539471),Approximate Location,09/01/2026 01:55:48 PM
BoundaryRoad j/w Abbey Road,BoundaryRoad,https://www.camden.gov.uk/winter-weather,526004.10739986,183694.09736683,-0.18455,51.538096,POINT (-0.18455 51.538096),Approximate Location,09/01/2026 01:55:48 PM
