Reporting service,Reporting service code,Name,Type,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Easting,Northing,Longitude,Latitude,Upper tier local authority,Statutory in 2010,Statutory in 2016,Statutory in 2019,Statutory in 2021,Statutory in 2022,Statutory in 2023,Operation in 2016,Operation in 2019,Operation in 2021,Operation in 2022,Operation in 2023,Year opened,Year closed,Operating organisation,Department,New build in 2022,Co-located,Co-located archives,Co-located arts centre,Co-located care home or hostel,"Co-located catering, bars or pub",Co-located civic,Co-located community,Co-located faith buildings,Co-located health,Co-located hotel,Co-located industrial or business,Co-located library,Co-located museum,Co-located retail,Co-located schools or colleges,Co-located universities or higher education,Co-located other,Co-located other text,Monday opening times,Tuesday opening times,Wednesday opening times,Thursday opening times,Friday opening times,Saturday opening times,Sunday opening times,Hours open per week,Staffed hours per week,Automated,Email or website,Rural urban classification code,Rural urban classification description,Index of multiple deprivation rank,Index of multiple deprivation decile
London Borough of Camden,E09000007,Belsize Community Library,Static Library,Antrim Road,London,Greater London,NW3 3NR,,526811,184308,-0.172701,51.543432,Camden,Yes,No,No,No,No,No,CR,CR,CR,CR,CR,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,All Day (continuous),All Day (continuous),All Day (continuous),Closed,Closed,Closed,Closed,26,26,No,belsizelibrary@thewinch.org,A1,Urban Major Conurbation,26116,8
London Borough of Camden,E09000007,Camden Town Library,Static Library,218 Eversholt Street,London,Greater London,NW1 1BD,,529261,183348,-0.137769,51.534248,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,Yes,,,,,X,,,,,,,,,,,,,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),AM & PM (continuous),AM & PM (continuous),Closed,44,44,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,10959,4
London Borough of Camden,E09000007,Highgate Library,Static Library,Chester Road,London,Greater London,N19 5DH,,528673,186576,-0.145062,51.563391,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,Closed,AM & PM (continuous),AM & PM (continuous),All Day (continuous),Closed,AM & PM (continuous),Closed,29,29,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,9462,3
London Borough of Camden,E09000007,Holborn Library,Static Library,32 Theobolds Road,London,Greater London,WC1X 8PA,,530827,181934,-0.115728,51.52118,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),AM & PM (continuous),AM & PM (continuous),Closed,49,49,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,18902,6
London Borough of Camden,E09000007,Keats Community Library,Static Library,10A Keats Grove,London,Greater London,NW3 2RR,,527089,185656,-0.168233,51.555482,Camden,Yes,No,No,No,No,No,ICL,ICL,ICL,ICL,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,Closed,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),PM Only,PM Only,42,42,No,keatscommunitylibrary@gmail.com,A1,Urban Major Conurbation,29763,10
London Borough of Camden,E09000007,Kentish Town Library,Static Library,262-266 Kentish Town Road,London,Greater London,NW5 2AA,,529021,185106,-0.140557,51.550103,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),AM & PM (continuous),AM & PM (continuous),Closed,49,49,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,18723,6
London Borough of Camden,E09000007,Kilburn Library Centre,Static Library,12-22 Kilburn High Road,London,Greater London,NW6 5UH,,525553,183493,-0.191148,51.536387,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),AM & PM (continuous),AM & PM (continuous),Closed,49,49,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,7671,3
London Borough of Camden,E09000007,Pancras Square Library,Static Library,5 Pancras Square,London,Greater London,N1C 4AG,,530144,183285,-0.125043,51.533481,Camden,No,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,2014,,,Supporting Communities,No,Yes,,,,,X,,,,,,,,,,,X,Leisure centre,All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),All Day (continuous),AM & PM (continuous),78,78,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,5146,2
London Borough of Camden,E09000007,Primrose Hill Community Library,Static Library,Sharpleshall Street,London,Greater London,NW1 8YN,,527919,184086,-0.156813,51.541187,Camden,Yes,No,No,No,No,No,CR,CR,CR,CR,CR,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,All Day (continuous),Closed,PM & Eve (continuous),Closed,All Day (continuous),AM & PM (continuous),Closed,28,28,No,events@phcl.org,A1,Urban Major Conurbation,28039,9
London Borough of Camden,E09000007,Queens Crescent Library,Static Library,165 Queens Crescent,London,Greater London,NW5 4HH,,528284,185130,-0.151198,51.550485,Camden,Yes,Yes,Yes,Yes,Yes,Yes,LA,LA,LA,LA,LA,,,,Supporting Communities,No,No,,,,,,,,,,,,,,,,,,AM & PM (continuous),AM & PM (continuous),AM & PM (continuous),AM & PM (continuous),AM & PM (continuous),AM & PM (continuous),Closed,41,41,No,libraries@camden.gov.uk,A1,Urban Major Conurbation,4795,2
