Name,Status,Time of Day,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID,Organisation URI
5 Pancras Square (Leisure Centre & Library),Available,Daytime,"Mon - Fri, 10am - 4pm; Sat, 11am to 3.30pm",,5,Pancras Square,N1C 4AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013666,Kings Cross,530050,183321,-0.126383,51.533826,"(51.533826, -0.126383)",Local Land And Property Gazetteer,08/01/2024 02:22:01 PM,1,http://opendatacommunities.org/id/london-borough-council/camden
Hampstead Heath Public Conveniences,Available,Daytime,,Hampstead Heath,,Highgate Road,,020 7332 3322,,http://www.cityoflondon.gov.uk/hampstead,E05013661,Highgate,527750,185795,-0.158641,51.556578,"(51.556578, -0.158641)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,14,http://opendatacommunities.org/id/london-borough-council/camden
Camden Market Public Toiet,Available,Daytime,,Public Toilet,,,NW1 8AF, 020 3763 9900,,https://www.camdenmarket.com/visit-us,E05013655,Camden Town,528667.46,184143.1,-0.1460052,51.5415306,"(51.5415306, -0.1460052)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,2,http://opendatacommunities.org/id/london-borough-council/camden
Kenwood House Public Conveniences,Available,Daytime,"9am-7pm (Summer), 9am-4pm (Winter).",Kenwood House,,Hampstead Lane,NW3 7JR,020 8348 1286,,http://www.camden.gov.uk/toilets,E05013661,Highgate,527087,187419,-0.1676,51.57132,"(51.57132, -0.1676)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,20,http://opendatacommunities.org/id/london-borough-council/camden
Lauderdale House,Available,Daytime,From 9am - dusk,Lauderdale House,,Highgate Hill,N6 5HG,,,http://www.lauderdalehouse.org.uk,E05013661,Highgate,528773,187236,-0.143352,51.569302,"(51.569302, -0.143352)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,23,http://opendatacommunities.org/id/london-borough-council/camden
Camden Town Hall Public Toilets,Available,Daytime,"8.30am - 8pm, Monday to Saturday",Town Hall,,Judd Street,WC1H 9JE,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013666,Kings Cross,530135,182795,-0.125353,51.529079,"(51.529079, -0.125353)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,3,http://opendatacommunities.org/id/london-borough-council/camden
Waterlow Park Centre Conveniences,Available,Daytime,Daylight hours,Waterlow Park Centre,,Dartmouth Park Hill,N19 5JF,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/ccm/content/contacts/council-contacts/leisure-council-contacts/parks-and-open-spaces/contact-waterlow-park/,E05013661,Highgate,528799,187131,-0.14303,51.568344,"(51.568344, -0.14303)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,35,http://opendatacommunities.org/id/london-borough-council/camden
Pond Square Public Conveniences,Available,Daytime,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,South Grove,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013661,Highgate,528389,187368,-0.148856,51.570576,"(51.570576, -0.148856)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,27,http://opendatacommunities.org/id/london-borough-council/camden
Community Toilet Scheme Burgh House & Hampstead Museum,Available,Daytime,,Burgh House,,New End Square,NW3 1LT,020 7974 4444 (Contact Camden call centre),,http://www.burghhouse.org.uk,E05013659,Hampstead Town,526607,185944,-0.175061,51.558178,"(51.558178, -0.175061)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,8,http://opendatacommunities.org/id/london-borough-council/camden
Primrose Hill Public Toilet,Available,Daytime,,Public Toilet,,,NW1 8UD,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,E05013667,Primrose Hill,527880.78,183644.18,-0.1575239,51.5372254,"(51.5372254, -0.1575239)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,28,http://opendatacommunities.org/id/london-borough-council/camden
Inverness Street Pop-up Urinal,Available,After 7pm,7pm - 5am,Public Convenience,Near 213-219,Camden High Street,NW1 8QR,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013655,Camden Town,528852,183940,-0.14343,51.539661,"(51.539661, -0.14343)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,18,http://opendatacommunities.org/id/london-borough-council/camden
South End Green Public Conveniences,Available,Daytime,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Conveniences,,South End Green,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013658,Gospel Oak,527311,185536,-0.165065,51.554347,"(51.554347, -0.165065)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,31,http://opendatacommunities.org/id/london-borough-council/camden
West End Lane Public Conveniences,Available,Daytime,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Convenience,,West End Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05013671,West Hampstead,525431,185220,-0.19228,51.551928,"(51.551928, -0.19228)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,36,http://opendatacommunities.org/id/london-borough-council/camden
Crowndale Centre Public Conveniences,Available,Daytime,"Mon-Fri, 10am - 4pm",The Crowndale Centre,218,Eversholt Street,NW1 1BD,020 7974 1564,,http://www.camden.gov.uk/toilets,E05013668,Regents Park,529261,183348,-0.137743,51.53425,"(51.53425, -0.137743)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,10,http://opendatacommunities.org/id/london-borough-council/camden
Regent's Park Chester Road Public Toilet,Available,Daytime,,Public Toilet,,,NW1 4NU,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,,,528502.42,182703.9,-0.1489087,51.5286341,"(51.5286341, -0.1489087)",Local Land And Property Gazetteer,08/01/2024 02:22:02 PM,30,http://opendatacommunities.org/id/london-borough-council/camden
