Reception Name,Reception Address,Reception Telephone Number,Reception Website,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,Organisation URI
West Hampstead Library,"West Hampstead Library,  Dennington Park Road, NW6 1AU",020 7974 4444,http://www.camden.gov.uk/westhampsteadlibrary,525480,185041,-0.191623,51.550317,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.550317, -0.191623)",19,http://opendatacommunities.org/id/london-borough-council/camden
Kilburn Library Centre,"Kilburn Library Centre, 12-22 Kilburn High Road, NW6 5UH",020 7974 4444,http://www.camden.gov.uk/kilburnlibrary,525552,183493,-0.191137,51.536389,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.536389, -0.191137)",13,http://opendatacommunities.org/id/london-borough-council/camden
Camden Town Library,"The Crowndale Centre, 218-220 Eversholt Street, NW1 1BD",020 7974 4444,http://www.camden.gov.uk/camdentownlibrary,529261,183348,-0.137743,51.53425,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.53425, -0.137743)",6,http://opendatacommunities.org/id/london-borough-council/camden
Camden Local Studies And Archives Centre,"32-38 Theobald's Road, WC1X 8PA",020 7974 6342,http://www.camden.gov.uk/localstudies,530827,181934,-0.115702,51.521182,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.521182, -0.115702)",3,http://opendatacommunities.org/id/london-borough-council/camden
Contact Camden Face-To-Face Hub (Camden Council),"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444,http://www.camden.gov.uk/contact,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",7,http://opendatacommunities.org/id/london-borough-council/camden
Pancras Square Library,"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444,http://www.camden.gov.uk/ccm/content/council-and-democracy/plans-and-policies/camden-strategies-%26-partnerships/pancras-square-library.en,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",14,http://opendatacommunities.org/id/london-borough-council/camden
Camden Town Hall Judd Street Reception,"Town Hall,  Judd Street, WC1H 9JE","020 7974 4444 (Contact Camden call centre), 020 7974 5710 (Reception)",http://www.camden.gov.uk/townhallreception,530134,182795,-0.125367,51.52908,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.52908, -0.125367)",5,http://opendatacommunities.org/id/london-borough-council/camden
Planning And Public Protection Customer Support (Camden Council),"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444,http://www.camden.gov.uk/planning,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",15,http://opendatacommunities.org/id/london-borough-council/camden
Ward Housing Teams,"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444,http://www.camden.gov.uk/tenancyservices,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",18,http://opendatacommunities.org/id/london-borough-council/camden
Holborn Library,"32-38 Theobald's Road, WC1X 8PA",020 7974 4444,http://www.camden.gov.uk/holbornlibrary,530827,181934,-0.115702,51.521182,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.521182, -0.115702)",10,http://opendatacommunities.org/id/london-borough-council/camden
5 Pancras Square,"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444 (Contact Camden call centre),http://www.camden.gov.uk,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",1,http://opendatacommunities.org/id/london-borough-council/camden
Queens Crescent Library,"Queens Crescent Branch Library, 165 Queen's Crescent, NW5 4HH",020 7974 4444,http://www.camden.gov.uk/queenscrescentlibrary,528283,185130,-0.151186,51.550488,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.550488, -0.151186)",16,http://opendatacommunities.org/id/london-borough-council/camden
Camden Registration Services (Camden Council),"Town Hall,  Judd Street, WC1H 9JE",020 7974 4444 (option 6 then when prompted say 'registrars'). Out of hours service provided for same-day burial enquiries.,http://www.camden.gov.uk/crs,530134,182795,-0.125367,51.52908,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.52908, -0.125367)",4,http://opendatacommunities.org/id/london-borough-council/camden
Swiss Cottage Library,"Swiss Cottage Library, 88 Avenue Road, NW3 3HA",020 7974 4444,http://www.camden.gov.uk/swisscottagelibrary,526779,184180,-0.173208,51.54229,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.54229, -0.173208)",17,http://opendatacommunities.org/id/london-borough-council/camden
Kentish Town Library,"Kentish Town Library, 262-266 Kentish Town Road, NW5 2AA",020 7974 4444,http://www.camden.gov.uk/kentishtownlibrary,529029,185095,-0.140445,51.550003,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.550003, -0.140445)",12,http://opendatacommunities.org/id/london-borough-council/camden
Benefits Service (Camden Council),"Offices And Premises At 6th Floor, , 5 Pancras Square, N1C 4AG",020 7974 4444 Option 3,http://www.camden.gov.uk/housingbenefit,530050,183321,-0.126383,51.533827,Local Land And Property Gazetteer,21/07/2025 02:58:24 PM,"(51.533827, -0.126383)",2,http://opendatacommunities.org/id/london-borough-council/camden
